Nombre,Composición por 100g de Porción Comestible,Composition per 100g Edible Portion,P. comestible  por 1g,Edible P. per 1g,Energía kcal,kcal energy,Agua g,g water,Alcohol g,Alcohol g,Proteínas g,g proteins,H. de Carbono g,Carbon H. g,Almidón g,Starch g,Azúcares  sencillos g,Simple sugars g,Azúcares libres g,free sugars g,Fibra vegetal g,Vegetable fiber g,Grasa total g,Total fat g,AGS g,AGS g,AGM g,AGM g,AGP g,AGP g,Colesterol mg,Cholesterol mg,Vitamina A (Eq. de Retinol) µg,Vitamin A (Retinol Eq.) µg,Retinol µg,Retinol µg,Carotenoides (Eq. ß-caroteno)  µg,Carotenoids (Eq. ß-carotene) µg,Vit. D µg,Vit. D µg,Vit. E (Eq. a-tocoferol) mg,Vit. E (Eq. a-tocopherol) mg,Vit. K µg,Vit. K µg,Vitamina B1  mg,Vitamin B1 mg,Vitamina B2  mg,Vitamin B2 mg,Equivalentes de Niacina  mg,Niacin mg equivalents,Vit. B6  mg,Vit. B6mg,Eq. Folato dietético  µg,Eq. Dietary folate µg,Vit. B12  µg,Vit. B12 µg,Pantoténico  mg,Pantothenic mg,Biotina  µg,Biotin µg,Vit. C  mg,Vit. Cmg,Calcio  mg,Calcium mg,Fósforo  mg,Phosphorus mg,Hierro  mg,Iron mg,Iodo  µg,Iodine µg,Cinc  mg,Zinc mg,Magnesio  mg,Magnesium mg,Sodio  mg,Sodium mg,Potasio  mg,Potassium mg,Manganeso  mg,Manganese mg,Cobre  mg,Copper mg,Selenio  µg,Selenium µg
10118,Maíz en mazorca crudo,Raw corn on the cob,"0,59",0.59,346,346,"13,7",13.7,0,0,"8,6",8.6,"64,7",64.7,"58,5",58.5,"6,2",6.2,0,0,"9,2",9.2,"3,8",3.8,"0,57",0.57,1,1,"1,5",1.5,0,0,"21,4",21.4,0,0,129,129,0,0,"1,1",1.1,1,1,"0,36",0.36,"0,2",0.2,"1,5",1.5,"0,4",0.4,26,26,0,0,"0,65",0.65,___,___,0,0,7,7,256,256,"2,4",2.4,2,2,"1,7",1.7,93,93,6,6,330,330,"0,46",0.46,"0,23",0.23,"15,4",15.4
10119,Maíz en mazorca hervido,Boiled corn on the cob,"0,59",0.59,110,110,"72,3",72.3,0,0,"3,4",3.4,"18,6",18.6,14,14,"4,5",4.5,0,0,"4,2",4.2,"1,5",1.5,"0,2",0.2,"0,4",0.4,"0,6",0.6,0,0,"26,3",26.3,0,0,158,158,0,0,"0,7",0.7,1,1,"0,22",0.22,"0,07",0.07,2,2,"0,1",0.1,31,31,0,0,"0,37",0.37,___,___,7,7,3,3,103,103,"0,6",0.6,1,1,"0,3",0.3,33,33,17,17,251,251,"0,14",0.14,46,46,"0,7",0.7
10120,Mijo,Darling,1,1,356,356,"11,9",11.9,0,0,11,11,"64,4",64.4,"56,2",56.2,"8,2",8.2,0,0,"8,5",8.5,"4,2",4.2,"0,72",0.72,"0,77",0.77,"2,1",2.1,0,0,0,0,0,0,0,0,0,0,"0,41",0.41,"0,9",0.9,"0,42",0.42,"0,3",0.3,"4,7",4.7,"0,38",0.38,85,85,0,0,"0,85",0.85,___,___,0,0,8,8,285,285,3,3,"2,5",2.5,"1,7",1.7,114,114,5,5,195,195,"1,6",1.6,"0,75",0.75,"2,7",2.7
10121,Polenta cocinada,cooked polenta,1,1,"61,8",61.8,"84,7",84.7,0,0,"1,4",1.4,"13,2",13.2,"10,8",10.8,0,0,0,0,"0,29",0.29,"0,31",0.31,34,34,89,89,"0,17",0.17,"0,05",0.05,"8,3",8.3,___,___,50,50,___,___,74,74,___,___,"0,05",0.05,"0,05",0.05,___,___,"0,05",0.05,13,13,0,0,___,___,___,___,___,___,"8,9",8.9,20,20,1,1,10,10,1,1,"8,3",8.3,3,3,"26,7",26.7,___,___,___,___,5,5
10122,"Polenta, harina","Polenta, flour",1,1,350,350,"12,6",12.6,0,0,"7,9",7.9,74,74,68,68,0,0,0,0,"3,2",3.2,"1,8",1.8,"0,22",0.22,"0,52",0.52,"0,97",0.97,0,0,"8,3",8.3,___,___,50,50,___,___,7,7,___,___,"0,07",0.07,"0,06",0.06,"0,05",0.05,"0,08",0.08,35,35,___,___,___,___,___,___,___,___,"1,6",1.6,104,104,1,1,10,10,1,1,35,35,"1,7",1.7,144,144,___,___,___,___,5,5
10123,Quinoa,Quinoa,1,1,354,354,"13,3",13.3,0,0,"14,1",14.1,"57,2",57.2,"52,2",52.2,5,5,0,0,7,7,"6,1",6.1,"0,71",0.71,"1,6",1.6,"3,3",3.3,0,0,"1,4",1.4,0,0,"8,5",8.5,0,0,"2,9",2.9,0,0,"0,36",0.36,"0,32",0.32,"1,5",1.5,"0,49",0.49,184,184,0,0,___,___,___,___,___,___,"0,33",0.33,457,457,"4,6",4.6,___,___,"3,1",3.1,197,197,5,5,563,563,2,2,"0,59",0.59,"8,5",8.5
10124,Salvado de avena,Oat bran,1,1,319,319,"6,6",6.6,0,0,"12,3",12.3,"33,8",33.8,"32,9",32.9,1,1,0,0,"34,1",34.1,"7,4",7.4,"1,4",1.4,"2,5",2.5,3,3,0,0,0,0,0,0,0,0,0,0,1,1,"3,2",3.2,"1,2",1.2,"0,22",0.22,"6,5",6.5,"0,17",0.17,52,52,0,0,"1,5",1.5,___,___,0,0,58,58,734,734,"5,4",5.4,___,___,"3,1",3.1,235,235,4,4,566,566,"5,6",5.6,"0,4",0.4,"45,2",45.2
10125,Salvado de trigo,wheat bran,1,1,274,274,"15,6",15.6,0,0,"15,6",15.6,"21,7",21.7,"21,3",21.3,"0,41",0.41,0,0,"42,8",42.8,"4,3",4.3,"0,63",0.63,"0,64",0.64,"2,2",2.2,0,0,0,0,0,0,0,0,0,0,"2,3",23,131,131,"0,52",0.52,"0,58",0.58,"18,3",18.3,"1,3",1.3,79,79,0,0,"2,2",2.2,___,___,0,0,73,73,1013,1013,"10,6",10.6,0,0,"7,3",7.3,611,611,2,2,1182,1182,"11,5",11.5,1,1,"77,6",77.6
10126,Sémola de trigo,wheat semolina,1,1,351,351,"10,1",10.1,0,0,"12,7",12.7,69,69,"68,7",68.7,"0,32",0.32,0,0,"7,2",7.2,"1,1",1.1,"0,15",0.15,"0,12",0.12,"0,43",0.43,0,0,0,0,0,0,___,___,0,0,"0,26",0.26,"98,2",98.2,"0,28",0.28,"0,08",0.08,6,6,"0,1",0.1,72,72,0,0,"0,58",0.58,___,___,0,0,17,17,136,136,"1,2",1.2,"5,1",5.1,"1,1",1.1,47,47,1,1,186,186,"0,62",0.62,"0,19",0.19,"2,5",2.5
10201,Barrita de cereales con frutas rojas,Cereal bar with red fruits,1,1,392,392,"7,5",7.5,0,0,8,8,78,78,38,38,39,39,"34,6",34.6,"1,5",1.5,5,5,2,2,"0,05",0.05,"0,1",0.1,0,0,"1,8",1.8,0,0,11,11,___,___,___,___,___,___,"1,1",1.1,"1,3",1.3,15,15,"1,6",1.6,165,165,"0,8",0.8,___,___,___,___,___,___,___,___,___,___,11,11,___,___,___,___,___,___,260,260,___,___,___,___,___,___,___,___
10202,Barrita de cereales con melocotón y albaricoque,Cereal bar with peach and apricot,1,1,403,403,7,7,0,0,7,7,77,77,38,38,38,38,"33,6",33.6,2,2,7,7,2,2,"0,86",0.86,"3,2",3.2,0,0,0,0,0,0,0,0,___,___,___,___,___,___,1,1,"1,2",1.2,13,13,"1,4",1.4,145,145,"0,7",0.7,___,___,___,___,___,___,___,___,___,___,10,10,___,___,___,___,___,___,300,300,___,___,___,___,___,___,___,___
10203,Barrita de cereales con pepitas de chocolate,Cereal bar with chocolate chips,1,1,350,350,"20,5",20.5,0,0,9,9,62,62,37,37,25,25,"20,6",20.6,"1,5",1.5,7,7,"3,5",3.5,"2,2",2.2,"0,29",0.29,0,0,___,___,___,___,___,___,___,___,___,___,___,___,"1,1",1.1,"1,3",1.3,15,15,"1,6",1.6,165,165,"0,8",0.8,___,___,___,___,___,___,___,___,___,___,11,11,___,___,___,___,___,___,260,260,___,___,___,___,___,___,___,___
10204,Barrita de cereales integrales,Whole grain bar,1,1,393,393,"8,5",8.5,0,0,8,8,76,76,41,41,35,35,"30,6",30.6,"1,5",1.5,6,6,5,5,___,___,___,___,0,0,___,___,___,___,___,___,___,___,___,___,___,___,"1,2",1.2,"1,3",1.3,"15,1",15.1,"1,7",1.7,168,168,"0,84",0.84,___,___,___,___,___,___,___,___,___,___,"5,9",5.9,20,20,___,___,___,___,350,350,___,___,___,___,___,___,___,___
10205,Barrita de fibra y chocolate,Fiber and chocolate bar,1,1,414,414,7,7,0,0,7,7,51,51,28,28,23,23,"18,6",18.6,19,19,16,16,5,5,"5,7",5.7,"0,74",0.74,___,___,___,___,___,___,___,___,___,___,___,___,___,___,"0,9",0.9,1,1,"11,3",11.3,"1,3",1.3,126,126,"0,63",0.63,___,___,___,___,___,___,___,___,___,___,6,6,___,___,___,___,___,___,650,650,___,___,___,___,___,___,___,___
10206,Bizcocho de fruta y fibra,Fruit and fiber cake,1,1,383,383,16,16,0,0,4,4,58,58,20,20,38,38,"31,1",31.1,9,9,13,13,"1,5",1.5,"6,7",6.7,"3,4",3.4,___,___,"7,7",7.7,7,7,4,4,___,___,___,___,___,___,"0,9",0.9,1,1,"11,3",11.3,"1,3",1.3,126,126,"0,63",0.63,___,___,___,___,___,___,___,___,___,___,6,6,___,___,___,___,___,___,260,260,___,___,___,___,___,___,___,___
10207,Cereales (almohadillas ricas en fibra),Cereals (high fiber pillows),1,1,408,408,"8,5",8.5,0,0,"7,5",7.5,63,63,28,28,35,35,"18,6",18.6,7,7,14,14,5,5,"3,5",3.5,"5,5",5.5,0,0,___,___,___,___,___,___,___,___,___,___,___,___,"0,9",0.9,1,1,"11,3",11.3,"1,3",1.3,126,126,"0,63",0.63,___,___,___,___,___,___,___,___,220,220,6,6,5,5,___,___,90,90,180,180,___,___,___,___,___,___,___,___
10208,Cereales (copos ricos en fibra),Cereals (fiber-rich flakes),1,1,356,356,6,6,0,0,10,10,67,67,45,45,22,22,12,12,15,15,2,2,"0,5",0.5,___,___,___,___,0,0,___,___,___,___,___,___,"4,2",4.2,___,___,___,___,"1,2",1.2,"1,3",1.3,"14,9",14.9,"1,7",1.7,334,334,"0,83",0.83,___,___,___,___,___,___,___,___,400,400,"11,6",11.6,5,5,"2,5",2.5,120,120,500,500,___,___,___,___,___,___,___,___
10209,Breakfast crereals con base de arroz,Breakfast crereals with rice base,1,1,388,388,"4,5",4.5,0,0,7,7,86,86,78,78,8,8,0,0,1,1,"1,5",1.5,"0,59",0.59,"0,2",0.2,"0,61",0.61,0,0,464,464,464,464,0,0,"4,2",4.2,"0,6",0.6,"0,1",0.1,"1,2",1.2,"1,3",1.3,15,15,"1,7",1.7,167,167,"0,8",0.8,"0,97",0.97,___,___,50,50,10,10,140,140,"7,9",7.9,5,5,1,1,40,40,592,592,140,140,1,1,"0,1",0.1,"15,4",15.4
10210,Breakfast crereals con base de arroz y chocolate,Breakfast crereals with rice and chocolate base,1,1,388,388,5,5,0,0,5,5,85,85,46,46,39,39,31,31,"2,5",2.5,"2,5",2.5,"1,5",1.5,"0,31",0.31,"0,18",0.18,0,0,464,464,464,464,0,0,"4,2",4.2,"0,62",0.62,"0,1",0.1,"1,2",1.2,"1,3",1.3,15,15,"1,7",1.7,167,167,"0,85",0.85,"0,9",0.9,___,___,50,50,453,453,120,120,"7,9",7.9,5,5,"0,9",0.9,40,40,403,403,250,250,"1,1",1.1,"0,2",0.2,"16,1",16.1
10211,Breakfast crereals con base de arroz y trigo integral,Breakfast crereals with rice and whole wheat base,1,1,375,375,6,6,0,0,16,16,74,74,57,57,17,17,9,9,3,3,1,1,17,17,17,17,52,52,0,0,515,515,515,515,0,0,"8,3",8.3,"0,55",0.55,"1,1",1.1,"2,3",23,"2,7",2.7,30,30,"3,3",3.3,333,333,"1,7",1.7,"0,9",0.9,___,___,100,100,70,70,220,220,"23,3",23.3,5,5,2,2,50,50,444,444,250,250,"0,2",0.2,"0,13",0.13,32,32
10212,"Breakfast crereals con base de arroz, trigo integral, frutas rojas","Breakfast crereals with rice base, whole wheat, red fruits",1,1,390,390,2,2,0,0,14,14,"79,5",79.5,"61,5",61.5,18,18,10,10,"3,5",3.5,1,1,"0,3",0.3,"0,2",0.2,"0,4",0.4,0,0,515,515,515,515,0,0,"8,3",8.3,"0,55",0.55,"1,1",1.1,"2,3",23,"2,7",2.7,30,30,"3,3",3.3,300,300,"1,7",1.7,"0,5",0.5,___,___,100,100,60,60,200,200,"23,3",23.3,5,5,2,2,50,50,444,444,300,300,"0,2",0.2,"0,13",0.13,32,32
10213,Breakfast crereals con base de avena,Oat-based breakfast crereals,1,1,349,349,"12,9",12.9,0,0,"13,8",13.8,"54,4",54.4,53,53,"7,5",7.5,0,0,"5,6",5.6,"7,2",7.2,"1,3",1.3,"2,6",2.6,"3,1",3.1,0,0,0,0,0,0,0,0,0,0,"1,5",1.5,"4,1",4.1,"0,56",0.56,"0,12",0.12,"3,7",3.7,"0,2",0.2,60,60,0,0,"1,2",1.2,21,21,0,0,55,55,405,405,"4,2",4.2,5,5,"3,3",3.3,131,131,240,240,268,268,"3,9",3.9,"0,49",0.49,3,3
10214,Breakfast crereals con base de avena integral tostada y miel,Crereals breakfast with a base of toasted whole oats and honey,1,1,388,388,"6,2",6.2,0,0,"8,6",8.6,75,75,"52,1",52.1,"22,9",22.9,"22,2",22.2,"4,9",4.9,"4,9",4.9,"0,88",0.88,"1,8",1.8,"2,1",2.1,0,0,0,0,0,0,0,0,0,0,"1,5",1.5,"4,1",4.1,"1,4",1.4,"1,6",1.6,18,18,2,2,60,60,0,0,"1,2",1.2,___,___,0,0,55,55,405,405,"4,2",4.2,5,5,"3,3",3.3,131,131,240,240,268,268,"3,9",3.9,"0,49",0.49,3,3
10215,Breakfast crereals con base de maíz,Breakfast crereals with corn base,1,1,376,376,"5,7",5.7,0,0,8,8,83,83,76,76,7,7,0,0,"2,5",2.5,"0,8",0.8,"0,23",0.23,"0,12",0.12,"0,25",0.25,0,0,398,398,398,398,0,0,"4,2",4.2,"0,34",0.34,"1,1",1.1,"1,2",1.2,"1,3",1.3,"14,9",14.9,"1,7",1.7,167,167,"0,85",0.85,"0,3",0.3,___,___,50,50,10,10,50,50,"7,9",7.9,5,5,"0,2",0.2,15,15,666,666,100,100,"0,2",0.2,"0,2",0.2,"2,6",2.6
10216,Breakfast crereals con base de maíz azucarados,Breakfast crereals with sugary corn base,1,1,361,361,"6,4",6.4,0,0,"4,5",4.5,"83,7",83.7,"51,1",51.1,"32,6",32.6,"28,7",28.7,"1,5",1.5,"0,6",0.6,"0,2",0.2,"0,09",0.09,"0,26",0.26,0,0,398,398,398,398,0,0,"4,2",4.2,"0,13",0.13,"1,1",1.1,"1,2",1.2,"1,3",1.3,15,15,1,1,167,167,"0,8",0.8,"0,3",0.3,___,___,50,50,453,453,30,30,"7,9",7.9,5,5,"0,1",0.1,5,5,379,379,60,60,"0,2",0.2,"0,04",0.04,"4,4",4.4
10217,"Breakfast crereals con base de maíz, avena y trigo, dorados con
miel","Breakfast crereals based on corn, oats and wheat, golden with
Honey",1,1,377,377,4,4,0,0,6,6,"80,6",80.6,"51,3",51.3,"29,3",29.3,"25,8",25.8,2,2,3,3,"0,4",0.4,"0,98",0.98,"1,6",1.6,0,0,321,321,321,321,0,0,"4,2",4.2,"0,8",0.8,"3,1",3.1,"1,2",1.2,"1,3",1.3,15,15,"1,7",1.7,167,167,"0,85",0.85,"0,63",0.63,___,___,51,51,453,453,80,80,"7,9",7.9,5,5,"0,5",0.5,20,20,294,294,120,120,"1,8",1.8,"0,3",0.3,"18,1",18.1
10218,"Breakfast crereals con base de trigo integral con avellanas y
almendras","Breakfast crereals with a whole wheat base with hazelnuts and
almonds",1,1,380,380,"5,1",5.1,0,0,10,10,65,65,40,40,25,25,23,23,13,13,6,6,"0,9",0.9,___,___,___,___,___,___,410,410,410,410,___,___,___,___,___,___,___,___,1,1,"1,1",1.1,"12,4",12.4,"1,4",1.4,278,278,"0,69",0.69,___,___,___,___,___,___,___,___,___,___,"9,7",9.7,___,___,___,___,___,___,900,900,___,___,___,___,___,___,___,___
10219,Breakfast crereals con base de trigo y chocolate,Breakfast crereals with wheat and chocolate base,1,1,364,364,4,4,0,0,8,8,75,75,48,48,27,27,25,25,"4,5",4.5,"2,5",2.5,"1,1",1.1,"0,28",0.28,"0,32",0.32,0,0,566,566,566,566,0,0,"4,2",4.2,"0,5",0.5,2,2,"1,2",1.2,"1,3",1.3,15,15,"1,7",1.7,167,167,"0,85",0.85,"0,4",0.4,___,___,50,50,267,267,100,100,"7,9",7.9,5,5,"0,9",0.9,50,50,388,388,400,400,"1,4",1.4,"0,2",0.2,"48,6",48.6
