Area,Item,Unit,Value,Sentence
Afghanistan,"Hen eggs in shell, fresh",1000 No,431288.0,"The production of Hen eggs in shell, fresh in Afghanistan is 431288.0 1000 No per year"
Afghanistan,Linseed,t,29000.0,The production of Linseed in Afghanistan is 29000.0 t per year
Afghanistan,Maize (corn),t,311000.0,The production of Maize (corn) in Afghanistan is 311000.0 t per year
Afghanistan,"Meat of camels, fresh or chilled",t,3628.77,"The production of Meat of camels, fresh or chilled in Afghanistan is 3628.77 t per year"
Afghanistan,"Meat of cattle with the bone, fresh or chilled",t,81649.23,"The production of Meat of cattle with the bone, fresh or chilled in Afghanistan is 81649.23 t per year"
Afghanistan,"Meat of chickens, fresh or chilled",t,28790.74,"The production of Meat of chickens, fresh or chilled in Afghanistan is 28790.74 t per year"
Afghanistan,"Meat of goat, fresh or chilled",t,47562.08,"The production of Meat of goat, fresh or chilled in Afghanistan is 47562.08 t per year"
Afghanistan,"Meat of sheep, fresh or chilled",t,102000.0,"The production of Meat of sheep, fresh or chilled in Afghanistan is 102000.0 t per year"
Afghanistan,Millet,t,1671.6,The production of Millet in Afghanistan is 1671.6 t per year
Afghanistan,Molasses,t,266.29,The production of Molasses in Afghanistan is 266.29 t per year
Afghanistan,Mustard seed,t,1032.98,The production of Mustard seed in Afghanistan is 1032.98 t per year
Afghanistan,Natural honey,t,1406.11,The production of Natural honey in Afghanistan is 1406.11 t per year
Afghanistan,Oil of linseed,t,8987.86,The production of Oil of linseed in Afghanistan is 8987.86 t per year
Afghanistan,Oil of sesame seed,t,2096.56,The production of Oil of sesame seed in Afghanistan is 2096.56 t per year
Afghanistan,Olive oil,t,728.23,The production of Olive oil in Afghanistan is 728.23 t per year
Afghanistan,Olives,t,7687.24,The production of Olives in Afghanistan is 7687.24 t per year
Afghanistan,"Onions and shallots, dry (excluding dehydrated)",t,541000.0,"The production of Onions and shallots, dry (excluding dehydrated) in Afghanistan is 541000.0 t per year"
Afghanistan,Oranges,t,8261.21,The production of Oranges in Afghanistan is 8261.21 t per year
Afghanistan,Other berries and fruits of the genus vaccinium n.e.c.,t,37783.89,The production of Other berries and fruits of the genus vaccinium n.e.c. in Afghanistan is 37783.89 t per year
Afghanistan,"Other citrus fruit, n.e.c.",t,18501.35,"The production of Other citrus fruit, n.e.c. in Afghanistan is 18501.35 t per year"
Afghanistan,"Other fruits, n.e.c.",t,61977.16,"The production of Other fruits, n.e.c. in Afghanistan is 61977.16 t per year"
Afghanistan,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",t,2203.13,"The production of Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c. in Afghanistan is 2203.13 t per year"
Afghanistan,Other pulses n.e.c.,t,54454.23,The production of Other pulses n.e.c. in Afghanistan is 54454.23 t per year
Afghanistan,"Other stimulant, spice and aromatic crops, n.e.c.",t,10.89,"The production of Other stimulant, spice and aromatic crops, n.e.c. in Afghanistan is 10.89 t per year"
Afghanistan,Other stone fruits,t,50457.67,The production of Other stone fruits in Afghanistan is 50457.67 t per year
Afghanistan,"Other vegetables, fresh n.e.c.",t,766887.84,"The production of Other vegetables, fresh n.e.c. in Afghanistan is 766887.84 t per year"
Afghanistan,Peaches and nectarines,t,97704.88,The production of Peaches and nectarines in Afghanistan is 97704.88 t per year
Afghanistan,Pears,t,32000.0,The production of Pears in Afghanistan is 32000.0 t per year
Afghanistan,"Pistachios, in shell",t,2800.16,"The production of Pistachios, in shell in Afghanistan is 2800.16 t per year"
Afghanistan,Plums and sloes,t,45889.52,The production of Plums and sloes in Afghanistan is 45889.52 t per year
Afghanistan,Potatoes,t,889000.0,The production of Potatoes in Afghanistan is 889000.0 t per year
Afghanistan,Raw cane or beet sugar (centrifugal only),t,549.33,The production of Raw cane or beet sugar (centrifugal only) in Afghanistan is 549.33 t per year
Afghanistan,Raw hides and skins of cattle,t,13402.8,The production of Raw hides and skins of cattle in Afghanistan is 13402.8 t per year
Afghanistan,Raw hides and skins of goats or kids,t,7182.84,The production of Raw hides and skins of goats or kids in Afghanistan is 7182.84 t per year
Afghanistan,Raw hides and skins of sheep or lambs,t,16150.0,The production of Raw hides and skins of sheep or lambs in Afghanistan is 16150.0 t per year
Afghanistan,Raw milk of camel,t,6774.81,The production of Raw milk of camel in Afghanistan is 6774.81 t per year
Afghanistan,Raw milk of cattle,t,1945903.74,The production of Raw milk of cattle in Afghanistan is 1945903.74 t per year
Afghanistan,Raw milk of goats,t,118312.66,The production of Raw milk of goats in Afghanistan is 118312.66 t per year
Afghanistan,Raw milk of sheep,t,162269.88,The production of Raw milk of sheep in Afghanistan is 162269.88 t per year
Afghanistan,Raw silk (not thrown),t,50.0,The production of Raw silk (not thrown) in Afghanistan is 50.0 t per year
Afghanistan,Rice,t,592000.0,The production of Rice in Afghanistan is 592000.0 t per year
Afghanistan,"Seed cotton, unginned",t,73516.13,"The production of Seed cotton, unginned in Afghanistan is 73516.13 t per year"
Afghanistan,Sesame seed,t,42000.0,The production of Sesame seed in Afghanistan is 42000.0 t per year
Afghanistan,"Sheep fat, unrendered",t,5737.5,"The production of Sheep fat, unrendered in Afghanistan is 5737.5 t per year"
Afghanistan,"Shorn wool, greasy, including fleece-washed shorn wool",t,12108.38,"The production of Shorn wool, greasy, including fleece-washed shorn wool in Afghanistan is 12108.38 t per year"
Afghanistan,Silk-worm cocoons suitable for reeling,t,500.0,The production of Silk-worm cocoons suitable for reeling in Afghanistan is 500.0 t per year
Afghanistan,Skim milk of cows,t,691806.36,The production of Skim milk of cows in Afghanistan is 691806.36 t per year
Afghanistan,Sugar beet,t,6000.0,The production of Sugar beet in Afghanistan is 6000.0 t per year
Afghanistan,Sugar cane,t,58000.0,The production of Sugar cane in Afghanistan is 58000.0 t per year
Afghanistan,Sunflower seed,t,831.24,The production of Sunflower seed in Afghanistan is 831.24 t per year
Afghanistan,"Sunflower-seed oil, crude",t,2013.48,"The production of Sunflower-seed oil, crude in Afghanistan is 2013.48 t per year"
Afghanistan,"Walnuts, in shell",t,20000.0,"The production of Walnuts, in shell in Afghanistan is 20000.0 t per year"
Afghanistan,Watermelons,t,911090.55,The production of Watermelons in Afghanistan is 911090.55 t per year
Afghanistan,Wheat,t,3810000.0,The production of Wheat in Afghanistan is 3810000.0 t per year
Afghanistan,"Beef and Buffalo Meat, primary",t,81649.23,"The production of Beef and Buffalo Meat, primary in Afghanistan is 81649.23 t per year"
Afghanistan,Butter and Ghee,t,41387.0,The production of Butter and Ghee in Afghanistan is 41387.0 t per year
Afghanistan,"Cereals, primary",t,4824671.6,"The production of Cereals, primary in Afghanistan is 4824671.6 t per year"
Afghanistan,Cheese (All Kinds),t,22887.0,The production of Cheese (All Kinds) in Afghanistan is 22887.0 t per year
Afghanistan,"Citrus Fruit, Total",t,26762.56,"The production of Citrus Fruit, Total in Afghanistan is 26762.56 t per year"
Afghanistan,Eggs Primary,t,21564.4,The production of Eggs Primary in Afghanistan is 21564.4 t per year
Afghanistan,"Fibre Crops, Fibre Equivalent",t,25730.65,"The production of Fibre Crops, Fibre Equivalent in Afghanistan is 25730.65 t per year"
Afghanistan,Fruit Primary,t,3500805.8,The production of Fruit Primary in Afghanistan is 3500805.8 t per year
Afghanistan,"Meat, Poultry",t,28790.74,"The production of Meat, Poultry in Afghanistan is 28790.74 t per year"
Afghanistan,"Meat, Total",t,271641.25,"The production of Meat, Total in Afghanistan is 271641.25 t per year"
Afghanistan,"Milk, Total",t,2233261.09,"The production of Milk, Total in Afghanistan is 2233261.09 t per year"
Afghanistan,"Oilcrops, Cake Equivalent",t,64301.0,"The production of Oilcrops, Cake Equivalent in Afghanistan is 64301.0 t per year"
Afghanistan,"Oilcrops, Oil Equivalent",t,38024.3,"The production of Oilcrops, Oil Equivalent in Afghanistan is 38024.3 t per year"
Afghanistan,"Pulses, Total",t,54454.23,"The production of Pulses, Total in Afghanistan is 54454.23 t per year"
Afghanistan,"Roots and Tubers, Total",t,889000.0,"The production of Roots and Tubers, Total in Afghanistan is 889000.0 t per year"
Afghanistan,Sheep and Goat Meat,t,149562.08,The production of Sheep and Goat Meat in Afghanistan is 149562.08 t per year
Afghanistan,"Skim Milk & Buttermilk, Dry",t,5885.0,"The production of Skim Milk & Buttermilk, Dry in Afghanistan is 5885.0 t per year"
Afghanistan,Sugar Crops Primary,t,64000.0,The production of Sugar Crops Primary in Afghanistan is 64000.0 t per year
Afghanistan,"Treenuts, Total",t,89003.29,"The production of Treenuts, Total in Afghanistan is 89003.29 t per year"
Afghanistan,Vegetables Primary,t,1307887.84,The production of Vegetables Primary in Afghanistan is 1307887.84 t per year
Albania,Apples,t,103645.0,The production of Apples in Albania is 103645.0 t per year
Albania,Apricots,t,5500.0,The production of Apricots in Albania is 5500.0 t per year
Albania,Barley,t,19014.0,The production of Barley in Albania is 19014.0 t per year
Albania,"Beans, dry",t,21770.0,"The production of Beans, dry in Albania is 21770.0 t per year"
Albania,"Beer of barley, malted",t,58000.0,"The production of Beer of barley, malted in Albania is 58000.0 t per year"
Albania,"Broad beans and horse beans, dry",t,207.96,"The production of Broad beans and horse beans, dry in Albania is 207.96 t per year"
Albania,"Broad beans and horse beans, green",t,109.02,"The production of Broad beans and horse beans, green in Albania is 109.02 t per year"
Albania,"Buffalo fat, unrendered",t,0.0,"The production of Buffalo fat, unrendered in Albania is 0.0 t per year"
Albania,Butter of cow milk,t,3392.0,The production of Butter of cow milk in Albania is 3392.0 t per year
Albania,"Buttermilk, dry",t,1021.87,"The production of Buttermilk, dry in Albania is 1021.87 t per year"
Albania,Cabbages,t,66696.0,The production of Cabbages in Albania is 66696.0 t per year
Albania,Cantaloupes and other melons,t,56420.7,The production of Cantaloupes and other melons in Albania is 56420.7 t per year
Albania,Carrots and turnips,t,9538.8,The production of Carrots and turnips in Albania is 9538.8 t per year
Albania,"Cattle fat, unrendered",t,1290.44,"The production of Cattle fat, unrendered in Albania is 1290.44 t per year"
Albania,Cauliflowers and broccoli,t,7676.0,The production of Cauliflowers and broccoli in Albania is 7676.0 t per year
Albania,"Cheese from milk of goats, fresh or processed",t,1109.38,"The production of Cheese from milk of goats, fresh or processed in Albania is 1109.38 t per year"
Albania,"Cheese from milk of sheep, fresh or processed",t,1075.4,"The production of Cheese from milk of sheep, fresh or processed in Albania is 1075.4 t per year"
Albania,Cheese from whole cow milk,t,31600.0,The production of Cheese from whole cow milk in Albania is 31600.0 t per year
Albania,Cherries,t,24357.0,The production of Cherries in Albania is 24357.0 t per year
Albania,"Chestnuts, in shell",t,6022.0,"The production of Chestnuts, in shell in Albania is 6022.0 t per year"
Albania,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",t,97017.5,"The production of Chillies and peppers, green (Capsicum spp. and Pimenta spp.) in Albania is 97017.5 t per year"
Albania,"Cotton lint, ginned",t,197.0,"The production of Cotton lint, ginned in Albania is 197.0 t per year"
Albania,Cotton seed,t,431.8,The production of Cotton seed in Albania is 431.8 t per year
Albania,Cottonseed oil,t,57.5,The production of Cottonseed oil in Albania is 57.5 t per year
Albania,Cucumbers and gherkins,t,129896.1,The production of Cucumbers and gherkins in Albania is 129896.1 t per year
Albania,Dates,t,12084.0,The production of Dates in Albania is 12084.0 t per year
Albania,"Edible offal of buffalo, fresh, chilled or frozen",t,0.0,"The production of Edible offal of buffalo, fresh, chilled or frozen in Albania is 0.0 t per year"
Albania,"Edible offal of cattle, fresh, chilled or frozen",t,3703.01,"The production of Edible offal of cattle, fresh, chilled or frozen in Albania is 3703.01 t per year"
Albania,"Edible offal of goat, fresh, chilled or frozen",t,2454.0,"The production of Edible offal of goat, fresh, chilled or frozen in Albania is 2454.0 t per year"
Albania,"Edible offal of pigs, fresh, chilled or frozen",t,566.72,"The production of Edible offal of pigs, fresh, chilled or frozen in Albania is 566.72 t per year"
Albania,"Edible offal of sheep, fresh, chilled or frozen",t,5347.95,"The production of Edible offal of sheep, fresh, chilled or frozen in Albania is 5347.95 t per year"
Albania,"Edible offals of camels and other camelids, fresh, chilled or frozen",t,0.0,"The production of Edible offals of camels and other camelids, fresh, chilled or frozen in Albania is 0.0 t per year"
Albania,"Edible offals of horses and other equines,  fresh, chilled or frozen",t,0.0,"The production of Edible offals of horses and other equines,  fresh, chilled or frozen in Albania is 0.0 t per year"
Albania,Eggplants (aubergines),t,33889.5,The production of Eggplants (aubergines) in Albania is 33889.5 t per year
Albania,"Eggs from other birds in shell, fresh, n.e.c.",t,200.0,"The production of Eggs from other birds in shell, fresh, n.e.c. in Albania is 200.0 t per year"
Albania,"Eggs from other birds in shell, fresh, n.e.c.",1000 No,3120.0,"The production of Eggs from other birds in shell, fresh, n.e.c. in Albania is 3120.0 1000 No per year"
Albania,Fat of camels,t,0.0,The production of Fat of camels in Albania is 0.0 t per year
Albania,Fat of pigs,t,566.72,The production of Fat of pigs in Albania is 566.72 t per year
Albania,Figs,t,23464.0,The production of Figs in Albania is 23464.0 t per year
Albania,"Goat fat, unrendered",t,286.3,"The production of Goat fat, unrendered in Albania is 286.3 t per year"
Albania,Grapes,t,217883.0,The production of Grapes in Albania is 217883.0 t per year
Albania,Green garlic,t,19038.7,The production of Green garlic in Albania is 19038.7 t per year
Albania,"Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg",t,432.0,"The production of Green tea (not fermented), black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3 kg in Albania is 432.0 t per year"
Albania,Groundnut oil,t,122.48,The production of Groundnut oil in Albania is 122.48 t per year
Albania,"Hen eggs in shell, fresh",t,48918.0,"The production of Hen eggs in shell, fresh in Albania is 48918.0 t per year"
Albania,"Hen eggs in shell, fresh",1000 No,776474.0,"The production of Hen eggs in shell, fresh in Albania is 776474.0 1000 No per year"
Albania,Hop cones,t,1780.02,The production of Hop cones in Albania is 1780.02 t per year
Albania,Leeks and other alliaceous vegetables,t,39124.5,The production of Leeks and other alliaceous vegetables in Albania is 39124.5 t per year
Albania,Lemons and limes,t,5782.0,The production of Lemons and limes in Albania is 5782.0 t per year
Albania,Lettuce and chicory,t,36379.0,The production of Lettuce and chicory in Albania is 36379.0 t per year
Albania,Maize (corn),t,401419.0,The production of Maize (corn) in Albania is 401419.0 t per year
Albania,Margarine and shortening,t,0.0,The production of Margarine and shortening in Albania is 0.0 t per year
Albania,"Meat of cattle with the bone, fresh or chilled",t,29736.3,"The production of Meat of cattle with the bone, fresh or chilled in Albania is 29736.3 t per year"
Albania,"Meat of chickens, fresh or chilled",t,16335.57,"The production of Meat of chickens, fresh or chilled in Albania is 16335.57 t per year"
Albania,"Meat of goat, fresh or chilled",t,7771.0,"The production of Meat of goat, fresh or chilled in Albania is 7771.0 t per year"
Albania,"Meat of pig with the bone, fresh or chilled",t,8500.8,"The production of Meat of pig with the bone, fresh or chilled in Albania is 8500.8 t per year"
Albania,"Meat of sheep, fresh or chilled",t,17113.43,"The production of Meat of sheep, fresh or chilled in Albania is 17113.43 t per year"
Albania,"Meat of turkeys, fresh or chilled",t,1211.0,"The production of Meat of turkeys, fresh or chilled in Albania is 1211.0 t per year"
Albania,Molasses,t,920.0,The production of Molasses in Albania is 920.0 t per year
Albania,Mushrooms and truffles,t,100.0,The production of Mushrooms and truffles in Albania is 100.0 t per year
Albania,Natural honey,t,5390.67,The production of Natural honey in Albania is 5390.67 t per year
Albania,Oats,t,34157.0,The production of Oats in Albania is 34157.0 t per year
Albania,Okra,t,8094.37,The production of Okra in Albania is 8094.37 t per year
Albania,Olive oil,t,11500.0,The production of Olive oil in Albania is 11500.0 t per year
Albania,Olives,t,157710.0,The production of Olives in Albania is 157710.0 t per year
Albania,"Onions and shallots, dry (excluding dehydrated)",t,108913.2,"The production of Onions and shallots, dry (excluding dehydrated) in Albania is 108913.2 t per year"
Albania,"Onions and shallots, green",t,51546.6,"The production of Onions and shallots, green in Albania is 51546.6 t per year"
Albania,Oranges,t,14294.0,The production of Oranges in Albania is 14294.0 t per year
Albania,"Other beans, green",t,13203.0,"The production of Other beans, green in Albania is 13203.0 t per year"
Albania,"Other citrus fruit, n.e.c.",t,11.0,"The production of Other citrus fruit, n.e.c. in Albania is 11.0 t per year"
Albania,"Other fruits, n.e.c.",t,3186.0,"The production of Other fruits, n.e.c. in Albania is 3186.0 t per year"
Albania,"Other meat n.e.c. (excluding mammals), fresh, chilled or frozen",t,168.06,"The production of Other meat n.e.c. (excluding mammals), fresh, chilled or frozen in Albania is 168.06 t per year"
Albania,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",t,11561.0,"The production of Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c. in Albania is 11561.0 t per year"
Albania,Other pulses n.e.c.,t,721.42,The production of Other pulses n.e.c. in Albania is 721.42 t per year
Albania,"Other stimulant, spice and aromatic crops, n.e.c.",t,345.73,"The production of Other stimulant, spice and aromatic crops, n.e.c. in Albania is 345.73 t per year"
Albania,Other stone fruits,t,0.0,The production of Other stone fruits in Albania is 0.0 t per year
Albania,"Other vegetables, fresh n.e.c.",t,38802.5,"The production of Other vegetables, fresh n.e.c. in Albania is 38802.5 t per year"
Albania,Palm oil,t,0.0,The production of Palm oil in Albania is 0.0 t per year
Albania,Peaches and nectarines,t,22472.0,The production of Peaches and nectarines in Albania is 22472.0 t per year
Albania,Pears,t,14975.0,The production of Pears in Albania is 14975.0 t per year
Albania,"Peas, green",t,8782.0,"The production of Peas, green in Albania is 8782.0 t per year"
Albania,Plums and sloes,t,45141.0,The production of Plums and sloes in Albania is 45141.0 t per year
Albania,Potatoes,t,262673.0,The production of Potatoes in Albania is 262673.0 t per year
Albania,"Pumpkins, squash and gourds",t,30002.2,"The production of Pumpkins, squash and gourds in Albania is 30002.2 t per year"
Albania,Quinces,t,5330.0,The production of Quinces in Albania is 5330.0 t per year
Albania,Raw cane or beet sugar (centrifugal only),t,2359.8,The production of Raw cane or beet sugar (centrifugal only) in Albania is 2359.8 t per year
Albania,Raw hides and skins of buffaloes,t,0.0,The production of Raw hides and skins of buffaloes in Albania is 0.0 t per year
Albania,Raw hides and skins of cattle,t,6171.69,The production of Raw hides and skins of cattle in Albania is 6171.69 t per year
Albania,Raw hides and skins of goats or kids,t,1840.5,The production of Raw hides and skins of goats or kids in Albania is 1840.5 t per year
Albania,Raw hides and skins of sheep or lambs,t,4991.42,The production of Raw hides and skins of sheep or lambs in Albania is 4991.42 t per year
Albania,Raw milk of buffalo,t,12.71,The production of Raw milk of buffalo in Albania is 12.71 t per year
Albania,Raw milk of cattle,t,849690.26,The production of Raw milk of cattle in Albania is 849690.26 t per year
Albania,Raw milk of goats,t,78478.79,The production of Raw milk of goats in Albania is 78478.79 t per year
Albania,Raw milk of sheep,t,71103.99,The production of Raw milk of sheep in Albania is 71103.99 t per year
Albania,Rice,t,0.0,The production of Rice in Albania is 0.0 t per year
Albania,Rye,t,3115.0,The production of Rye in Albania is 3115.0 t per year
Albania,"Seed cotton, unginned",t,767.14,"The production of Seed cotton, unginned in Albania is 767.14 t per year"
Albania,"Sheep fat, unrendered",t,998.28,"The production of Sheep fat, unrendered in Albania is 998.28 t per year"
Albania,"Shorn wool, greasy, including fleece-washed shorn wool",t,2341.0,"The production of Shorn wool, greasy, including fleece-washed shorn wool in Albania is 2341.0 t per year"
Albania,Skim milk of cows,t,88476.15,The production of Skim milk of cows in Albania is 88476.15 t per year
Albania,Sorghum,t,0.0,The production of Sorghum in Albania is 0.0 t per year
Albania,Sour cherries,t,17542.02,The production of Sour cherries in Albania is 17542.02 t per year
Albania,Soya bean oil,t,49.85,The production of Soya bean oil in Albania is 49.85 t per year
Albania,Soya beans,t,686.0,The production of Soya beans in Albania is 686.0 t per year
Albania,Spinach,t,29640.0,The production of Spinach in Albania is 29640.0 t per year
Albania,Strawberries,t,6290.0,The production of Strawberries in Albania is 6290.0 t per year
Albania,Sugar beet,t,21253.0,The production of Sugar beet in Albania is 21253.0 t per year
Albania,Sunflower seed,t,789.0,The production of Sunflower seed in Albania is 789.0 t per year
Albania,"Sunflower-seed oil, crude",t,400.0,"The production of Sunflower-seed oil, crude in Albania is 400.0 t per year"
Albania,"Tangerines, mandarins, clementines",t,35161.0,"The production of Tangerines, mandarins, clementines in Albania is 35161.0 t per year"
Albania,Tomatoes,t,315057.3,The production of Tomatoes in Albania is 315057.3 t per year
Albania,Unmanufactured tobacco,t,1792.0,The production of Unmanufactured tobacco in Albania is 1792.0 t per year
Albania,Vetches,t,1881.36,The production of Vetches in Albania is 1881.36 t per year
Albania,Watermelons,t,256798.2,The production of Watermelons in Albania is 256798.2 t per year
Albania,Wheat,t,233145.0,The production of Wheat in Albania is 233145.0 t per year
Albania,Wine,t,2586.65,The production of Wine in Albania is 2586.65 t per year
Albania,"Beef and Buffalo Meat, primary",t,29736.3,"The production of Beef and Buffalo Meat, primary in Albania is 29736.3 t per year"
Albania,Butter and Ghee,t,3392.0,The production of Butter and Ghee in Albania is 3392.0 t per year
Albania,"Cereals, primary",t,690850.0,"The production of Cereals, primary in Albania is 690850.0 t per year"
Albania,Cheese (All Kinds),t,33785.0,The production of Cheese (All Kinds) in Albania is 33785.0 t per year
Albania,"Citrus Fruit, Total",t,55248.0,"The production of Citrus Fruit, Total in Albania is 55248.0 t per year"
Albania,Eggs Primary,t,49118.0,The production of Eggs Primary in Albania is 49118.0 t per year
Albania,"Fibre Crops, Fibre Equivalent",t,268.5,"The production of Fibre Crops, Fibre Equivalent in Albania is 268.5 t per year"
Albania,Fruit Primary,t,870335.92,The production of Fruit Primary in Albania is 870335.92 t per year
Albania,"Meat, Poultry",t,17546.57,"The production of Meat, Poultry in Albania is 17546.57 t per year"
Albania,"Meat, Total",t,80836.17,"The production of Meat, Total in Albania is 80836.17 t per year"
Albania,"Milk, Total",t,999273.04,"The production of Milk, Total in Albania is 999273.04 t per year"
Albania,"Oilcrops, Cake Equivalent",t,1159.0,"The production of Oilcrops, Cake Equivalent in Albania is 1159.0 t per year"
Albania,"Oilcrops, Oil Equivalent",t,35220.5,"The production of Oilcrops, Oil Equivalent in Albania is 35220.5 t per year"
Albania,"Pulses, Total",t,24580.74,"The production of Pulses, Total in Albania is 24580.74 t per year"
Albania,"Roots and Tubers, Total",t,262673.0,"The production of Roots and Tubers, Total in Albania is 262673.0 t per year"
Albania,Sheep and Goat Meat,t,24884.43,The production of Sheep and Goat Meat in Albania is 24884.43 t per year
Albania,"Skim Milk & Buttermilk, Dry",t,1022.0,"The production of Skim Milk & Buttermilk, Dry in Albania is 1022.0 t per year"
Albania,Sugar Crops Primary,t,21253.0,The production of Sugar Crops Primary in Albania is 21253.0 t per year
Albania,"Treenuts, Total",t,17583.0,"The production of Treenuts, Total in Albania is 17583.0 t per year"
Albania,Vegetables Primary,t,1043506.29,The production of Vegetables Primary in Albania is 1043506.29 t per year
Algeria,"Almonds, in shell",t,62988.46,"The production of Almonds, in shell in Algeria is 62988.46 t per year"
Algeria,Apples,t,539852.35,The production of Apples in Algeria is 539852.35 t per year
Algeria,Apricots,t,203916.41,The production of Apricots in Algeria is 203916.41 t per year
Algeria,Artichokes,t,124305.3,The production of Artichokes in Algeria is 124305.3 t per year
Algeria,Bananas,t,236.75,The production of Bananas in Algeria is 236.75 t per year
Algeria,Barley,t,1600000.0,The production of Barley in Algeria is 1600000.0 t per year
Algeria,"Beans, dry",t,3290.82,"The production of Beans, dry in Algeria is 3290.82 t per year"
Algeria,"Beer of barley, malted",t,180000.0,"The production of Beer of barley, malted in Algeria is 180000.0 t per year"
Algeria,"Broad beans and horse beans, dry",t,44352.99,"The production of Broad beans and horse beans, dry in Algeria is 44352.99 t per year"
Algeria,"Broad beans and horse beans, green",t,287210.22,"The production of Broad beans and horse beans, green in Algeria is 287210.22 t per year"
Algeria,Butter of cow milk,t,4490.84,The production of Butter of cow milk in Algeria is 4490.84 t per year
Algeria,"Buttermilk, dry",t,944.2,"The production of Buttermilk, dry in Algeria is 944.2 t per year"
Algeria,Cabbages,t,155164.37,The production of Cabbages in Algeria is 155164.37 t per year
Algeria,Carrots and turnips,t,427954.95,The production of Carrots and turnips in Algeria is 427954.95 t per year
Algeria,"Cattle fat, unrendered",t,2848.39,"The production of Cattle fat, unrendered in Algeria is 2848.39 t per year"
Algeria,Cauliflowers and broccoli,t,251934.8,The production of Cauliflowers and broccoli in Algeria is 251934.8 t per year
Algeria,Cheese from skimmed cow milk,t,2609.72,The production of Cheese from skimmed cow milk in Algeria is 2609.72 t per year
Algeria,Cherries,t,11158.61,The production of Cherries in Algeria is 11158.61 t per year
Algeria,"Chick peas, dry",t,37990.52,"The production of Chick peas, dry in Algeria is 37990.52 t per year"
