,Area,Item,Unit,Value,Sentence
330,Afghanistan,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,81.4,In Afghanistan the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 81.4 %
338,Afghanistan,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,89.5,In Afghanistan the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 89.5 %
503,Afghanistan,Cereal import dependency ratio (percent) (3-year average),%,42.5,In Afghanistan the Cereal import dependency ratio (percent) (3-year average) is 42.5 %
524,Afghanistan,Percent of arable land equipped for irrigation (percent) (3-year average),%,4.9,In Afghanistan the Percent of arable land equipped for irrigation (percent) (3-year average) is 4.9 %
545,Afghanistan,Value of food imports in total merchandise exports (percent) (3-year average),%,142,In Afghanistan the Value of food imports in total merchandise exports (percent) (3-year average) is 142 %
567,Afghanistan,Political stability and absence of violence/terrorism (index),,-2.55,
591,Afghanistan,Per capita food supply variability (kcal/cap/day),kcal/cap/d,26,In Afghanistan the Per capita food supply variability (kcal/cap/day) is 26 kcal/cap/d
614,Afghanistan,Percentage of population using safely managed drinking water services (percent),%,30,In Afghanistan the Percentage of population using safely managed drinking water services (percent) is 30 %
637,Afghanistan,Percentage of population using at least basic drinking water services (percent),%,82,In Afghanistan the Percentage of population using at least basic drinking water services (percent) is 82 %
660,Afghanistan,Percentage of population using at least basic sanitation services (percent),%,56,In Afghanistan the Percentage of population using at least basic sanitation services (percent) is 56 %
683,Afghanistan,Percentage of children under 5 years affected by wasting (percent),%,3.6,In Afghanistan the Percentage of children under 5 years affected by wasting (percent) is 3.6 %
730,Afghanistan,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,33.1,In Afghanistan the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is 33.1 %
776,Afghanistan,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,3.7,In Afghanistan the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is 3.7 %
822,Afghanistan,Prevalence of obesity in the adult population (18 years and older) (percent),%,19.2,In Afghanistan the Prevalence of obesity in the adult population (18 years and older) (percent) is 19.2 %
845,Afghanistan,Number of obese adults (18 years and older) (million),million No,3.9,In Afghanistan the Number of obese adults (18 years and older) (million) is 3.9 million No
865,Afghanistan,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,42.6,In Afghanistan the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is 42.6 %
908,Afghanistan,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,63.3,In Afghanistan the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is 63.3 %
929,Afghanistan,Prevalence of low birthweight (percent),%,,In Afghanistan the Prevalence of low birthweight (percent) is nan %
974,Afghanistan,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1666,In Afghanistan the Minimum dietary energy requirement  (kcal/cap/day) is 1666 kcal/cap/d
998,Afghanistan,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2144,In Afghanistan the Average dietary energy requirement (kcal/cap/day) is 2144 kcal/cap/d
1022,Afghanistan,Coefficient of variation of habitual caloric consumption distribution (real number),No,0.4,In Afghanistan the Coefficient of variation of habitual caloric consumption distribution (real number) is 0.4 No
1046,Afghanistan,Incidence of caloric losses at retail distribution level (percent),%,2.63,In Afghanistan the Incidence of caloric losses at retail distribution level (percent) is 2.63 %
1067,Afghanistan,Average fat supply (g/cap/day) (3-year average),g/cap/d,43,In Afghanistan the Average fat supply (g/cap/day) (3-year average) is 43 g/cap/d
1089,Albania,Average dietary energy supply adequacy (percent) (3-year average),%,134,In Albania the Average dietary energy supply adequacy (percent) (3-year average) is 134 %
1113,Albania,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,3318,In Albania the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) is 3318 kcal/cap/d
1135,Albania,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,3346,In Albania the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average) is 3346 kcal/cap/d
1156,Albania,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,33,"In Albania the Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average) is 33 %"
1177,Albania,Average protein supply (g/cap/day) (3-year average),g/cap/d,116.8,In Albania the Average protein supply (g/cap/day) (3-year average) is 116.8 g/cap/d
1198,Albania,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,62.1,In Albania the Average supply of protein of animal origin (g/cap/day) (3-year average) is 62.1 g/cap/d
1208,Albania,Rail lines density (total route in km per 100 square km of land area),km,1.5,In Albania the Rail lines density (total route in km per 100 square km of land area) is 1.5 km
1231,Albania,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,17261,"In Albania the Gross domestic product per capita, PPP, (constant 2017 international $) is 17261 Int$/cap"
1253,Albania,Prevalence of undernourishment (percent) (3-year average),%,4.5,In Albania the Prevalence of undernourishment (percent) (3-year average) is 4.5 %
1307,Albania,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,7.2,In Albania the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 7.2 %
1315,Albania,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,5.4,In Albania the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 5.4 %
1323,Albania,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,9,In Albania the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 9 %
1331,Albania,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,9.3,In Albania the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 9.3 %
1339,Albania,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,7.6,In Albania the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 7.6 %
1347,Albania,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,10.9,In Albania the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 10.9 %
1379,Albania,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,28.6,In Albania the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 28.6 %
1387,Albania,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,25.3,In Albania the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 25.3 %
1395,Albania,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,31.9,In Albania the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 31.9 %
1403,Albania,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,35.7,In Albania the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 35.7 %
1411,Albania,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,32.9,In Albania the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 32.9 %
1419,Albania,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,38.6,In Albania the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 38.6 %
1584,Albania,Cereal import dependency ratio (percent) (3-year average),%,44.1,In Albania the Cereal import dependency ratio (percent) (3-year average) is 44.1 %
1605,Albania,Percent of arable land equipped for irrigation (percent) (3-year average),%,13.1,In Albania the Percent of arable land equipped for irrigation (percent) (3-year average) is 13.1 %
1626,Albania,Value of food imports in total merchandise exports (percent) (3-year average),%,22,In Albania the Value of food imports in total merchandise exports (percent) (3-year average) is 22 %
1648,Albania,Political stability and absence of violence/terrorism (index),,0.11,
1672,Albania,Per capita food supply variability (kcal/cap/day),kcal/cap/d,41,In Albania the Per capita food supply variability (kcal/cap/day) is 41 kcal/cap/d
1695,Albania,Percentage of population using safely managed drinking water services (percent),%,71,In Albania the Percentage of population using safely managed drinking water services (percent) is 71 %
1718,Albania,Percentage of population using at least basic drinking water services (percent),%,95,In Albania the Percentage of population using at least basic drinking water services (percent) is 95 %
1741,Albania,Percentage of population using safely managed sanitation services (percent),%,56,In Albania the Percentage of population using safely managed sanitation services (percent) is 56 %
1764,Albania,Percentage of population using at least basic sanitation services (percent),%,99,In Albania the Percentage of population using at least basic sanitation services (percent) is 99 %
1787,Albania,Percentage of children under 5 years affected by wasting (percent),%,,In Albania the Percentage of children under 5 years affected by wasting (percent) is nan %
1834,Albania,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,8.3,In Albania the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is 8.3 %
1880,Albania,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,13.4,In Albania the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is 13.4 %
1926,Albania,Prevalence of obesity in the adult population (18 years and older) (percent),%,23.4,In Albania the Prevalence of obesity in the adult population (18 years and older) (percent) is 23.4 %
1949,Albania,Number of obese adults (18 years and older) (million),million No,0.5,In Albania the Number of obese adults (18 years and older) (million) is 0.5 million No
1969,Albania,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,24.8,In Albania the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is 24.8 %
2012,Albania,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,,In Albania the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is nan %
2033,Albania,Prevalence of low birthweight (percent),%,6,In Albania the Prevalence of low birthweight (percent) is 6 %
2078,Albania,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1914,In Albania the Minimum dietary energy requirement  (kcal/cap/day) is 1914 kcal/cap/d
2102,Albania,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2487,In Albania the Average dietary energy requirement (kcal/cap/day) is 2487 kcal/cap/d
2126,Albania,Coefficient of variation of habitual caloric consumption distribution (real number),No,0.29,In Albania the Coefficient of variation of habitual caloric consumption distribution (real number) is 0.29 No
2150,Albania,Incidence of caloric losses at retail distribution level (percent),%,2.95,In Albania the Incidence of caloric losses at retail distribution level (percent) is 2.95 %
2171,Albania,Average fat supply (g/cap/day) (3-year average),g/cap/d,112.7,In Albania the Average fat supply (g/cap/day) (3-year average) is 112.7 g/cap/d
2193,Algeria,Average dietary energy supply adequacy (percent) (3-year average),%,152,In Algeria the Average dietary energy supply adequacy (percent) (3-year average) is 152 %
2217,Algeria,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,3513,In Algeria the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) is 3513 kcal/cap/d
2239,Algeria,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,3509,In Algeria the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average) is 3509 kcal/cap/d
2260,Algeria,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,50,"In Algeria the Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average) is 50 %"
2281,Algeria,Average protein supply (g/cap/day) (3-year average),g/cap/d,95.1,In Algeria the Average protein supply (g/cap/day) (3-year average) is 95.1 g/cap/d
2302,Algeria,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,26.4,In Algeria the Average supply of protein of animal origin (g/cap/day) (3-year average) is 26.4 g/cap/d
2322,Algeria,Rail lines density (total route in km per 100 square km of land area),km,0.2,In Algeria the Rail lines density (total route in km per 100 square km of land area) is 0.2 km
2345,Algeria,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,13090.9,"In Algeria the Gross domestic product per capita, PPP, (constant 2017 international $) is 13090.9 Int$/cap"
2367,Algeria,Prevalence of undernourishment (percent) (3-year average),%,<2.5,In Algeria the Prevalence of undernourishment (percent) (3-year average) is <2.5 %
2421,Algeria,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,7,In Algeria the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 7 %
2429,Algeria,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,3.6,In Algeria the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 3.6 %
2437,Algeria,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,10.3,In Algeria the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 10.3 %
2445,Algeria,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,4.3,In Algeria the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 4.3 %
2453,Algeria,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,2,In Algeria the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 2 %
2461,Algeria,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,6.7,In Algeria the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 6.7 %
2493,Algeria,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,20.9,In Algeria the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 20.9 %
2501,Algeria,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,16.8,In Algeria the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 16.8 %
2509,Algeria,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,25,In Algeria the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 25 %
2517,Algeria,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,16.9,In Algeria the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 16.9 %
2525,Algeria,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,13.9,In Algeria the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 13.9 %
2533,Algeria,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,19.9,In Algeria the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 19.9 %
2698,Algeria,Cereal import dependency ratio (percent) (3-year average),%,80.6,In Algeria the Cereal import dependency ratio (percent) (3-year average) is 80.6 %
2719,Algeria,Percent of arable land equipped for irrigation (percent) (3-year average),%,0.6,In Algeria the Percent of arable land equipped for irrigation (percent) (3-year average) is 0.6 %
2740,Algeria,Value of food imports in total merchandise exports (percent) (3-year average),%,25,In Algeria the Value of food imports in total merchandise exports (percent) (3-year average) is 25 %
2762,Algeria,Political stability and absence of violence/terrorism (index),,-0.74,
2786,Algeria,Per capita food supply variability (kcal/cap/day),kcal/cap/d,42,In Algeria the Per capita food supply variability (kcal/cap/day) is 42 kcal/cap/d
2809,Algeria,Percentage of population using safely managed drinking water services (percent),%,71,In Algeria the Percentage of population using safely managed drinking water services (percent) is 71 %
2832,Algeria,Percentage of population using at least basic drinking water services (percent),%,95,In Algeria the Percentage of population using at least basic drinking water services (percent) is 95 %
2855,Algeria,Percentage of population using safely managed sanitation services (percent),%,62,In Algeria the Percentage of population using safely managed sanitation services (percent) is 62 %
2878,Algeria,Percentage of population using at least basic sanitation services (percent),%,86,In Algeria the Percentage of population using at least basic sanitation services (percent) is 86 %
2901,Algeria,Percentage of children under 5 years affected by wasting (percent),%,,In Algeria the Percentage of children under 5 years affected by wasting (percent) is nan %
2948,Algeria,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,8.6,In Algeria the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is 8.6 %
2994,Algeria,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,11.9,In Algeria the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is 11.9 %
3040,Algeria,Prevalence of obesity in the adult population (18 years and older) (percent),%,23.8,In Algeria the Prevalence of obesity in the adult population (18 years and older) (percent) is 23.8 %
3063,Algeria,Number of obese adults (18 years and older) (million),million No,6.9,In Algeria the Number of obese adults (18 years and older) (million) is 6.9 million No
3083,Algeria,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,33.3,In Algeria the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is 33.3 %
3126,Algeria,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,,In Algeria the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is nan %
3147,Algeria,Prevalence of low birthweight (percent),%,7.2,In Algeria the Prevalence of low birthweight (percent) is 7.2 %
3192,Algeria,Minimum dietary energy requirement  (kcal/cap/day),kcal/cap/d,1790,In Algeria the Minimum dietary energy requirement  (kcal/cap/day) is 1790 kcal/cap/d
3216,Algeria,Average dietary energy requirement (kcal/cap/day),kcal/cap/d,2307,In Algeria the Average dietary energy requirement (kcal/cap/day) is 2307 kcal/cap/d
3240,Algeria,Coefficient of variation of habitual caloric consumption distribution (real number),No,0.29,In Algeria the Coefficient of variation of habitual caloric consumption distribution (real number) is 0.29 No
3264,Algeria,Incidence of caloric losses at retail distribution level (percent),%,3.53,In Algeria the Incidence of caloric losses at retail distribution level (percent) is 3.53 %
3285,Algeria,Average fat supply (g/cap/day) (3-year average),g/cap/d,99.1,In Algeria the Average fat supply (g/cap/day) (3-year average) is 99.1 g/cap/d
3307,American Samoa,Prevalence of undernourishment (percent) (3-year average),%,,In American Samoa the Prevalence of undernourishment (percent) (3-year average) is nan %
3361,American Samoa,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,,In American Samoa the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is nan %
3369,American Samoa,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,,In American Samoa the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is nan %
3377,American Samoa,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,,In American Samoa the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is nan %
3385,American Samoa,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,,In American Samoa the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is nan %
3393,American Samoa,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,,In American Samoa the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is nan %
3401,American Samoa,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,,In American Samoa the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is nan %
3433,American Samoa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,,In American Samoa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is nan %
3441,American Samoa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,,In American Samoa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is nan %
3449,American Samoa,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,,In American Samoa the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is nan %
3457,American Samoa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,,In American Samoa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is nan %
3465,American Samoa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,,In American Samoa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is nan %
3473,American Samoa,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,,In American Samoa the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is nan %
3638,American Samoa,Percent of arable land equipped for irrigation (percent) (3-year average),%,,In American Samoa the Percent of arable land equipped for irrigation (percent) (3-year average) is nan %
3657,American Samoa,Political stability and absence of violence/terrorism (index),,1.13,
3679,American Samoa,Percentage of population using safely managed drinking water services (percent),%,90,In American Samoa the Percentage of population using safely managed drinking water services (percent) is 90 %
3701,American Samoa,Percentage of population using at least basic drinking water services (percent),%,99,In American Samoa the Percentage of population using at least basic drinking water services (percent) is 99 %
3724,American Samoa,Percentage of population using safely managed sanitation services (percent),%,37,In American Samoa the Percentage of population using safely managed sanitation services (percent) is 37 %
3747,American Samoa,Percentage of population using at least basic sanitation services (percent),%,54,In American Samoa the Percentage of population using at least basic sanitation services (percent) is 54 %
3770,American Samoa,Percentage of children under 5 years affected by wasting (percent),%,,In American Samoa the Percentage of children under 5 years affected by wasting (percent) is nan %
3817,American Samoa,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),%,,In American Samoa the Percentage of children under 5 years of age who are stunted (modelled estimates) (percent) is nan %
3863,American Samoa,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),%,,In American Samoa the Percentage of children under 5 years of age who are overweight (modelled estimates) (percent) is nan %
3909,American Samoa,Prevalence of obesity in the adult population (18 years and older) (percent),%,75.2,In American Samoa the Prevalence of obesity in the adult population (18 years and older) (percent) is 75.2 %
3932,American Samoa,Number of obese adults (18 years and older) (million),million No,<0.1,In American Samoa the Number of obese adults (18 years and older) (million) is <0.1 million No
3952,American Samoa,Prevalence of anemia among women of reproductive age (15-49 years) (percent),%,,In American Samoa the Prevalence of anemia among women of reproductive age (15-49 years) (percent) is nan %
3995,American Samoa,Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent),%,,In American Samoa the Prevalence of exclusive breastfeeding among infants 0-5 months of age (percent) is nan %
4016,American Samoa,Prevalence of low birthweight (percent),%,,In American Samoa the Prevalence of low birthweight (percent) is nan %
4061,American Samoa,Incidence of caloric losses at retail distribution level (percent),%,3.02,In American Samoa the Incidence of caloric losses at retail distribution level (percent) is 3.02 %
4084,Andorra,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,63379,"In Andorra the Gross domestic product per capita, PPP, (constant 2017 international $) is 63379 Int$/cap"
4106,Andorra,Prevalence of undernourishment (percent) (3-year average),%,,In Andorra the Prevalence of undernourishment (percent) (3-year average) is nan %
4160,Andorra,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,,In Andorra the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is nan %
4168,Andorra,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,,In Andorra the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is nan %
4176,Andorra,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,,In Andorra the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is nan %
4184,Andorra,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,,In Andorra the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is nan %
4192,Andorra,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,,In Andorra the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is nan %
4200,Andorra,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,,In Andorra the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is nan %
4232,Andorra,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,,In Andorra the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is nan %
4240,Andorra,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,,In Andorra the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is nan %
4248,Andorra,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,,In Andorra the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is nan %
4256,Andorra,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,,In Andorra the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is nan %
4264,Andorra,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,,In Andorra the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is nan %
4272,Andorra,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,,In Andorra the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is nan %
4437,Andorra,Percent of arable land equipped for irrigation (percent) (3-year average),%,0.3,In Andorra the Percent of arable land equipped for irrigation (percent) (3-year average) is 0.3 %
4459,Andorra,Political stability and absence of violence/terrorism (index),,1.59,
4482,Andorra,Percentage of population using safely managed drinking water services (percent),%,91,In Andorra the Percentage of population using safely managed drinking water services (percent) is 91 %
4505,Andorra,Percentage of population using at least basic drinking water services (percent),%,99,In Andorra the Percentage of population using at least basic drinking water services (percent) is 99 %
4528,Andorra,Percentage of population using safely managed sanitation services (percent),%,99,In Andorra the Percentage of population using safely managed sanitation services (percent) is 99 %
4551,Andorra,Percentage of population using at least basic sanitation services (percent),%,99,In Andorra the Percentage of population using at least basic sanitation services (percent) is 99 %
