Recipe Title,Sentence
Pumpkin Ravioli ,"To cook Pumpkin Ravioli , you need:pasta dough:, 5 eggs, 1 tablespoon of salt, 1 tablespoon of olive oil, 3 cups of all-purpose flour, pumpkin filling:, 1 can of pumpkin, 1 cup of Pecorino {or Ricotta}, 2 Teaspoons of Nutmeg, 1 Teaspoon Cinnamon, dash of salt and pepper"
Best Ever Pear Cobbler,"To cook Best Ever Pear Cobbler, you need:6 medium pears, peeled, cored and sliced (about 4 cups), 1 Tbsp. lemon juice, 3 Tbsp. all-purpose flour, 1 c. sugar, 1/2 tsp. ground cinnamon, 1/2 tsp. ground nutmeg, dash salt, 1 Tbsp. butter or margarine, Cheddar Cheese Pastry"
Cinnamon Chicken,"To cook Cinnamon Chicken, you need:1 halal chicken, 1 ground cinnamon, 1 salt, 1 black pepper, 1 ground cumin, 1 butter, 1 tomato paste, 1 cilantro, finely chopped, 1 paprika, 1 chopped parsley, 1 olive oil, 1 water, 1 lemon juice, 1 cooking twine"
Stuffed Hot Dogs,"To cook Stuffed Hot Dogs, you need:3 medium potatoes, cooked and drained, 1/2 c. salad dressing, 2 eggs, hard-boiled and chopped, 2 to 3 Tbsp. zucchini relish, 1 lb. hot dogs, split lengthwise"
Barbecue Roast,"To cook Barbecue Roast, you need:1 bottle ketchup, 1 c. water, 1/2 c. vinegar, 1/4 c. Worcestershire sauce, 1/4 c. brown sugar, 1 tsp. salt, 1 chopped onion, 1 tsp. chili powder, 3 to 4 garlic buds, 3 drops liquid smoke, 3 to 4 lb. roast"
Tamatie Bredie,"To cook Tamatie Bredie, you need:2 lbs mutton shoulder (may substitute with beef shoulder), 1 1/2 cups water, 6 ripe tomatoes, 70 g tomato paste, 3 potatoes, 3 garlic cloves, 2 onions, 1 chicken stock cube, 2 tablespoons oil, 1 tablespoon butter, 1 tablespoon potato flour (or use ap flour), 2 teaspoons sea salt, 1 teaspoon sugar, 1 teaspoon mixed herbs, 1/2 teaspoon fresh ground black pepper, 1/2 teaspoon paprika, 1/2 teaspoon chili powder"
Chuck Wagon Beans,"To cook Chuck Wagon Beans, you need:1/2 lb. bacon, cut in small pieces, 1/2 lb. ground beef, 1 onion, diced, 1 (16 oz.) can butter beans, 1 (16 oz) can kidney beans, 1 (20 oz.) can pork and beans, 1/3 c. brown sugar, 1/2 c. white sugar, 1/4 c. catsup, 1/2 tsp. dry mustard, 2 Tbsp. molasses, dash of Worcestershire sauce"
Tomato and Walnut Flat Bread,"To cook Tomato and Walnut Flat Bread, you need:2 cups boiling water, 4 sun-dried tomatoes (not oil-packed), 12 cup whole wheat flour, 12 cup flour, 1 tablespoon sugar, 14 teaspoon salt, 12 teaspoon baking powder, 14 teaspoon cayenne pepper, 1 egg, 1 egg white, 2 tablespoons fresh thyme, chopped or 2 teaspoons dried thyme, 13 cup walnuts, finely chopped"
Veal Parmigiana,"To cook Veal Parmigiana, you need:4 veal cutlets, 2 eggs, slightly beaten, 3/4 c. Italian bread crumbs, olive oil, 1 jar Ragu Italian cooking sauce, 6 oz. grated Mozzarella cheese, Parmesan cheese"
French Onion Soup,"To cook French Onion Soup, you need:5 cans beef consomme, 5 cans water, 2 bay leaves, 1 Tbsp. Worcestershire sauce, 1/2 c. red wine (non-alcohol may be used), 3 lb. onions, sliced, 10 slices toasted French bread, 10 slices Swiss cheese, halved"
Cherry Vanilla Cake,"To cook Cherry Vanilla Cake, you need:1 (18 ounce) package white cake mix or (18 ounce) package French vanilla cake mix, 1 (21 ounce) can cherry pie filling, 2 eggs, 2/3 cup vegetable oil, 1 teaspoon vanilla extract, 1 teaspoon almond extract, 2/3 cup chopped almonds"
Sugarless Apple Bundt Cake,"To cook Sugarless Apple Bundt Cake, you need:4 c. finely diced apples (5 to 6 apples), 1/2 c. undiluted frozen apple juice concentrate, thawed, 1/2 c. water, 1/4 c. raisins, 1 1/4 c. whole wheat flour, 1 1/4 c. rice flour, 2 tsp. baking powder, 2 tsp. baking soda, 2 tsp. cinnamon, 1/8 tsp. nutmeg, 1/8 tsp. allspice, 4 egg whites, 1 tsp. vanilla extract, 1 c. Grape-Nuts cereal"
Sage Pork Roast With Apple Pork Gravy,"To cook Sage Pork Roast With Apple Pork Gravy, you need:2 1/2 teaspoons McCormick Sage, Rubbed, 1 1/2 teaspoons garlic salt McCormick(R) California Style, with Parsley, 1 teaspoon ginger McCormick(R), Ground, 1/2 teaspoon McCormick Black Pepper Ground, 1 center cut pork roast boneless, about 3 pounds, 1 tablespoon oil, 2 cups apple juice, 2 packages pork gravy mix McCormick(R)"
Salad Supreme,"To cook Salad Supreme, you need:1 (6 oz.) pkg. orange gelatin, vegetable cooking spray, 1 (20 oz.) can crushed pineapple (reserve 1 c. liquid), 1/2 c. chopped pecans, 2 eggs, well beaten, 1 (8 oz.) carton thawed Cool Whip, 1 (8 oz.) pkg. cream cheese, softened, 1 Tbsp. lemon juice, 3/4 c. sugar, 2 Tbsp. all-purpose flour, 1/2 c. chopped pecans (optional)"
Spiced Pork Tenderloin With Sautéed Apples,"To cook Spiced Pork Tenderloin With Sautéed Apples, you need:3/8 teaspoon salt, 1/4 teaspoon ground coriander, 1/4 teaspoon freshly ground black pepper, 1/8 teaspoon ground cinnamon, 1/8 teaspoon ground nutmeg, 1 pound pork tenderloin, trimmed and cut crosswise into 12 pieces, Cooking spray, 2 tablespoons butter, 2 cups thinly sliced unpeeled Braeburn or Gala apple, 1/3 cup thinly sliced shallots, 1/8 teaspoon salt, 1/4 cup apple cider, 1 teaspoon fresh thyme leaves"
agua de horchata,"To cook agua de horchata, you need:1 cup white rice, 2 liter water, 1 sugar to taste, 1 1/2 cup milk, 2 tsp ground cinnamon"
Coconut Sour Cream Cake,"To cook Coconut Sour Cream Cake, you need:1 pkg butter flavored cake mix, 2 cups sugar, 1 (6 oz) carton sour cream, 1 (12 oz) pkg frozen coconut, 1 1/2 cups Cool Whip"
Easy Pecan Pie,"To cook Easy Pecan Pie, you need:3 eggs, 1 c. sugar, 1 Tbsp. flour, 1 c. white corn syrup, 1 c. chopped pecans, 3 Tbsp. melted butter, 1 Tbsp. vanilla"
Mud Pie,"To cook Mud Pie, you need:36 Oreo cookies, 6 Tbsp. butter or margarine, 1/2 gal. vanilla ice cream, 1/2 c. nuts (optional)"
Pasticcio,"To cook Pasticcio, you need:14 oz. uncooked elbow macaroni (about 4 c.), 2 (15 oz.) cans tomato sauce, 1 1/2 c. grated Parmesan or Romano cheese (6 oz.), 1/3 c. margarine or butter, 1/4 tsp. ground nutmeg, 1 1/2 lb. ground beef, 1 medium onion, chopped (about 1/2 c.), 1 1/2 tsp. salt, 1/4 tsp. ground cinnamon, 2 c. milk, 3 eggs, beaten"
Risoles (Indonesian Style Of Rissole),"To cook Risoles (Indonesian Style Of Rissole), you need:For Risoles wrapper, 150 g all-purpose flour, 1 egg, 200 ml milk, salt, For filling, 150 g minced beef or 150 g chicken, 3 small potatoes, cut into small cubes, 2 carrots, cut into small cubes, 1 onion, peeled and sliced, 2 garlic cloves, peeled and sliced, 1 stalk celery, chopped, 1 stalk spring onion, chopped (optional), 1 tablespoon flour, mixed with a little of water, 1/2 teaspoon pepper, 1/2 beef bouillon cube (Maggi or Knorr block), sugar, to the taste, 1 cup water, For dipping, 1 egg, breadcrumbs"
Beef Parmesan,"To cook Beef Parmesan, you need:1 1/2 lbs round steaks, 1 egg, 1/2 cup parmesan cheese, 1/3 cup oil, 1/2 cup dry breadcrumbs, 1 large onion, diced, 2 teaspoons salt, 1 teaspoon pepper, 1/3 cup sugar, 1 (6 ounce) can tomato paste, 1 1/2 cups hot water, 1/2 lb mozzarella cheese or 1/2 lb monterey jack cheese, sliced"
Company Salad,"To cook Company Salad, you need:6 oz. pkg. lemon Jell-O, 1 (No. 2) can crushed pineapple, 4 bananas, 2 c. miniature marshmallows, 1 c. pineapple juice, 1 egg, beaten, 1 1/2 Tbsp. flour, 1/2 c. sugar, 12 oz. Cool Whip, 1 c. grated cheese (Cheddar), 2 c. ice water, 1 c. boiling water"
Buttermilk Crumb Cupcakes,"To cook Buttermilk Crumb Cupcakes, you need:Vegetable shortening for greasing muffin cups, 1 egg, 1 1/4 cups flour, 1 cup light-brown sugar (push the sugar firmly down into the measuring cup.), 1/4 teaspoon salt, 1/3 cup vegetable shortening, 1 teaspoon baking powder, 1/4 teaspoon baking soda, 1/4 teaspoon ground cinnamon, 1/4 teaspoon ground nutmeg, 1/2 cup buttermilk, Muffin Pan, Small Bowl, Fork, Measuring Cups, Measuring Spoons, Large Mixing Bowl, Large Spoon, Kitchen Timer, Pot Holders, Cooling Rack"
Monster Cookies,"To cook Monster Cookies, you need:1 lb. margarine, 4 c. sugar, 2 lb. brown sugar, 12 eggs, 1 Tbsp. corn syrup, 8 tsp. baking soda, 18 c. oatmeal (about 3 small boxes or 1 large box), 3 lb. peanut butter, 2 lb. M&M's, 1 large box raisins, 24 oz. chocolate chips (optional), 1/4 c. vanilla"
Hungry Jack Jackpots,"To cook Hungry Jack Jackpots, you need:1 lb. hamburger, 1/2 c. barbecue sauce, 1 Tbsp. instant minced onion, 2 Tbsp. brown sugar, 1 (10 oz.) pkg. Hungry Jack biscuits, 3/4 c. shredded Cheddar cheese"
Tuna Burger With Avocado Salad,"To cook Tuna Burger With Avocado Salad, you need:300g Frozen Yellowfin Tuna Steak, thawed, 100g soft white breadcrumbs, Grated zest and juice of 1 small lemon, 2 tsp Dijon mustard, 1 medium egg, beaten, 2 tbsp olive oil, 50g bag wild rocket, Handful coriander leaves, 300g Red Tomatoes, quartered, 2 baby avocados, skinned stoned and sliced, 1 red onion, thinly sliced"
Rice Pilaf,"To cook Rice Pilaf, you need:1 medium onion, chopped, 2 large carrots or 3 small carrots, chopped, 1 12 tomatoes, 34 cup frozen spinach, 2 12 cups rice, 3 cups water, 1 tablespoon cinnamon, 2 tablespoons salt, 2 tablespoons pepper, 2 tablespoons curry"
Frango À Moda Do Alentejana (Chicken With Potatoes And Ga,"To cook Frango À Moda Do Alentejana (Chicken With Potatoes And Ga, you need:1 chicken, cut into pieces, 2 lbs potatoes, quartered, 1 onion, sliced, 20 rosemary sprigs, salt, to taste, pepper, to taste, 8 tablespoons olive oil, 20 garlic cloves, unpeeled"
Healthier Peanut (Or Other) Butter Granola Bars,"To cook Healthier Peanut (Or Other) Butter Granola Bars, you need:1 cup peanut butter or 1 cup almond butter, 14 cup coconut oil, softened, 14 cup honey, 14 cup glycerin (or use all honey), 1 dropperful liquid stevia, 2 teaspoons vanilla, 1 tablespoon maca, powder, 14 cup chia seeds, 14 cup ground flax seeds, 3 cups rolled oats, 12 cup dried fruit (cranberry, raisin. coconut etc) (optional), 13 cup semi-sweet chocolate chips (optional)"
